species,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,basisOfRecord,depth
Caligus coryphaenae,36.43,-74.35,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,40.42,-63.58,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,40.42,-62.58,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,41.48,-63.87,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,38,-68,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,38,-65.42,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,41.48,-65.87,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,4.4,-2.3,NA,PRESERVED_SPECIMEN,549
Caligus coryphaenae,37.05,-68.23,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,37.05,-68.23,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,40,-68.23,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,38.58,-68.23,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,37.05,-68.17,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,40,-68.23,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,38.58,-68.23,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,-2,-132,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,20.58,-157.75,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,20.7583,-160.625,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,9,-150,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,32.47,-68.1,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,38.82,-64.03,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,42.3,-64.03,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,37.73,-65.7,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,40,-68.08,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,0,-157.7,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,-17.4333,-86.7667,NA,PRESERVED_SPECIMEN,NA
Caligus coryphaenae,-45.5833,-75.9167,NA,PRESERVED_SPECIMEN,1920
Caligus coryphaenae,-1.5,-17.333333,115000,PRESERVED_SPECIMEN,NA
Caligus curtus,62.466107,6.169117,200,HUMAN_OBSERVATION,NA
Caligus curtus,69.704724,18.533017,1000,HUMAN_OBSERVATION,NA
Caligus curtus,63.034486,7.679437,200,HUMAN_OBSERVATION,NA
BOLD AAW8408,60.334,2.47,NA,MATERIAL_SAMPLE,94
Caligus curtus,60.334,2.47,NA,PRESERVED_SPECIMEN,NA
BOLD AAW8408,58.744,2.564,NA,MATERIAL_SAMPLE,2
Caligus curtus,58.744,2.564,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,42.778057,-65.9403,NA,PRESERVED_SPECIMEN,0
Caligus curtus,50,-63,NA,PRESERVED_SPECIMEN,0
Caligus curtus,50.189594,-63.718369,NA,PRESERVED_SPECIMEN,25
Caligus curtus,58,-2,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,41.329913,-70.741514,11144,PRESERVED_SPECIMEN,NA
Caligus curtus,48.3,-64.083333,NA,PRESERVED_SPECIMEN,110
Caligus curtus,47.816667,-64.616667,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,57.592551,9.943258,1064,PRESERVED_SPECIMEN,NA
Caligus curtus,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,40.8958,-69.2583,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,64.950873,-23.258955,3836,PRESERVED_SPECIMEN,NA
Caligus curtus,41.5431,-70.9122,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,44.4167,-57.5833,NA,PRESERVED_SPECIMEN,58
Caligus curtus,41.5431,-70.9122,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,41.5431,-70.9122,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,41.5431,-70.9122,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,44.7167,-57.3792,NA,PRESERVED_SPECIMEN,0
Caligus curtus,43.0833,-64.675,NA,PRESERVED_SPECIMEN,110
Caligus curtus,43.1667,-64.3,NA,PRESERVED_SPECIMEN,101
Caligus curtus,45.1667,-59.3958,NA,PRESERVED_SPECIMEN,80
Caligus curtus,39,-72,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,39,-72,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,40.0306,-70.9833,NA,PRESERVED_SPECIMEN,214
Caligus curtus,39.9,-70.62,NA,PRESERVED_SPECIMEN,411
Caligus curtus,41.273559,-71.982764,6070,PRESERVED_SPECIMEN,NA
Caligus curtus,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus curtus,43.73,-70.1583,NA,PRESERVED_SPECIMEN,13.7
Caligus curtus,43.73,-70.02,NA,PRESERVED_SPECIMEN,22.9
Caligus curtus,43.63,-70.05,NA,PRESERVED_SPECIMEN,41
Caligus elongatus,59.778181,10.709436,150,HUMAN_OBSERVATION,NA
Caligus elongatus,69.676326,18.747615,5,HUMAN_OBSERVATION,NA
Caligus elongatus,55.445933,4.1227,NA,PRESERVED_SPECIMEN,NA
BOLD AAE8404,54.186,7.9,NA,MATERIAL_SAMPLE,2
BOLD AAE8403,54.186,7.9,NA,MATERIAL_SAMPLE,2
BOLD AAE8404,54.186,7.9,NA,MATERIAL_SAMPLE,2
Caligus elongatus,54.186,7.9,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,54.186,7.9,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,54.186,7.9,NA,PRESERVED_SPECIMEN,NA
BOLD AAE8403,54.186,7.9,NA,MATERIAL_SAMPLE,2
BOLD AAE8403,54.186,7.9,NA,MATERIAL_SAMPLE,2
BOLD AAE8404,54.186,7.9,NA,MATERIAL_SAMPLE,2
BOLD AAE8403,58.744,2.564,NA,MATERIAL_SAMPLE,111
BOLD AAE8403,56.628,5.301,NA,MATERIAL_SAMPLE,59
BOLD AAE8403,58.744,2.564,NA,MATERIAL_SAMPLE,111
Caligus elongatus,54.186,7.9,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,54.186,7.9,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,58.744,2.564,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,58.744,2.564,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,54.186,7.9,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,56.628,5.301,NA,PRESERVED_SPECIMEN,NA
BOLD AAE8403,53.953,8.593,NA,MATERIAL_SAMPLE,2
Caligus elongatus,53.953,8.593,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,51.22,2.85,NA,UNKNOWN,NA
Caligus elongatus,60.645228,-1.042765,70.7,HUMAN_OBSERVATION,NA
Caligus elongatus,60.645228,-1.042765,70.7,HUMAN_OBSERVATION,NA
Caligus elongatus,60.645228,-1.042765,70.7,HUMAN_OBSERVATION,NA
Caligus elongatus,60.645228,-1.042765,70.7,HUMAN_OBSERVATION,NA
Caligus elongatus,60.645228,-1.042765,70.7,HUMAN_OBSERVATION,NA
Caligus elongatus,54.156736,7.887592,NA,HUMAN_OBSERVATION,NA
Caligus elongatus,53.557513,8.578375,NA,HUMAN_OBSERVATION,NA
Caligus elongatus,60.609938,-1.005451,70.7,HUMAN_OBSERVATION,NA
Caligus elongatus,60.609938,-1.005451,70.7,HUMAN_OBSERVATION,NA
Caligus elongatus,60.609938,-1.005451,70.7,HUMAN_OBSERVATION,NA
Caligus elongatus,60.609938,-1.005451,70.7,HUMAN_OBSERVATION,NA
Caligus elongatus,60.609938,-1.005451,70.7,HUMAN_OBSERVATION,NA
Caligus elongatus,44.955555,-66.7917,NA,PRESERVED_SPECIMEN,10
Caligus elongatus,44.863609,-66.7989,NA,PRESERVED_SPECIMEN,0
Caligus elongatus,45.066666,-66.8333,NA,PRESERVED_SPECIMEN,0
Caligus elongatus,42.778889,-66.0819,NA,PRESERVED_SPECIMEN,0
Caligus elongatus,42.621666,-65.7806,NA,PRESERVED_SPECIMEN,0
Caligus elongatus,42.511391,-65.5089,NA,PRESERVED_SPECIMEN,0
Caligus elongatus,42.803333,-65.5214,NA,PRESERVED_SPECIMEN,0
Caligus elongatus,59,-5,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,58,-2,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,58,-2,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,61,-9,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,41.5431,-70.9122,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,40.8958,-69.2583,NA,PRESERVED_SPECIMEN,NA
Caligus elongatus,40.78,-70.65,NA,PRESERVED_SPECIMEN,59
Caligus elongatus,42.43,-70.62,NA,PRESERVED_SPECIMEN,37
Caligus rapax,53.188345,-4.212913,16000,MATERIAL_SAMPLE,NA
Caligus rapax,57.592551,9.943258,1064,PRESERVED_SPECIMEN,NA
Caligus rapax,42.1,-70,NA,PRESERVED_SPECIMEN,73.1
Caligus rapax,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus rapax,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus rapax,41.5167,-70.6667,NA,PRESERVED_SPECIMEN,NA
Caligus rapax,41.5167,-70.6667,NA,PRESERVED_SPECIMEN,NA
Caligus rapax,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus rapax,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus rapax,41.5167,-70.6667,NA,PRESERVED_SPECIMEN,NA
Caligus rapax,41.5431,-70.9122,NA,PRESERVED_SPECIMEN,NA
Caligus rapax,41.0667,-70.9917,NA,PRESERVED_SPECIMEN,41
Caligus rapax,39.9722,-70.8667,NA,PRESERVED_SPECIMEN,263
Caligus rapax,41.5167,-70.6667,NA,PRESERVED_SPECIMEN,NA
Caligus rapax,41.5167,-70.6667,NA,PRESERVED_SPECIMEN,NA
Caligus rapax,39,-72,NA,PRESERVED_SPECIMEN,NA
Caligus rapax,40.775,-69.8375,NA,PRESERVED_SPECIMEN,33
Caligus rapax,43.63,-70.05,NA,PRESERVED_SPECIMEN,NA
Caligus rapax,40.72,-70.75,NA,PRESERVED_SPECIMEN,57
Caligus rapax,40.0833,-70.5792,NA,PRESERVED_SPECIMEN,128
Caligus rapax,40.0306,-70.9833,NA,PRESERVED_SPECIMEN,214
Caligus rapax,40.0306,-70.9833,NA,PRESERVED_SPECIMEN,214
Caligus rapax,41.1722,-66.5056,NA,PRESERVED_SPECIMEN,91
Caligus rapax,40.0833,-70.5792,NA,PRESERVED_SPECIMEN,128
Caligus rapax,41.5431,-70.9122,NA,PRESERVED_SPECIMEN,NA
Caligus rapax,41.4169,-70.6169,NA,PRESERVED_SPECIMEN,256
Caligus rapax,39.975,-70.62,NA,PRESERVED_SPECIMEN,229
Caligus rapax,39.975,-70.62,NA,PRESERVED_SPECIMEN,229
Caligus rapax,42.5417,-70.3917,NA,PRESERVED_SPECIMEN,48
Caligus rapax,43.6042,-70.03,NA,PRESERVED_SPECIMEN,31.1
Caligus rapax,41.5431,-70.9122,NA,PRESERVED_SPECIMEN,NA
Caligus rapax,41.5431,-70.9122,NA,PRESERVED_SPECIMEN,14.5
Caligus rapax,44.9,-66.98,NA,PRESERVED_SPECIMEN,21
Caligus regalis,-13.33,48.25,NA,PRESERVED_SPECIMEN,NA
Caligus regalis,-13.33,48.25,NA,PRESERVED_SPECIMEN,NA
Caligus regalis,-13.33,48.25,NA,PRESERVED_SPECIMEN,NA
Calliobothrium australis,-38.5333,-58.7,NA,PRESERVED_SPECIMEN,NA
Calliobothrium cisloi,41.32,-72.32,NA,PRESERVED_SPECIMEN,NA
Calliobothrium cisloi,41.32,-72.32,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,40.5741,-73.9746,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,40.5741,-73.9746,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,40.5741,-73.9746,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,40.5741,-73.9746,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,40.5741,-73.9746,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,40.5741,-73.9746,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,40.5741,-73.9746,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,40.5741,-73.9746,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,40.5741,-73.9746,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,40.5741,-73.9746,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,40.5741,-73.9746,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,40.5741,-73.9746,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,40.5741,-73.9746,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,40.5728,-73.9756,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,40.5741,-73.9746,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,40.5741,-73.9746,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,24.6652,-82.8554,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,24.6652,-82.8554,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,41.5703,-71.3342,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Callitetrarhynchus speciosus,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Campula oblonga,46.38,-63.83,NA,PRESERVED_SPECIMEN,NA
Campula oblonga,46.116667,-123.934722,NA,PRESERVED_SPECIMEN,NA
Campula oblonga,46.701944,-124.061667,NA,PRESERVED_SPECIMEN,NA
Campula oblonga,51.6,173.98,NA,PRESERVED_SPECIMEN,NA
Campula oblonga,60.5,-144,NA,PRESERVED_SPECIMEN,NA
Campula oblonga,53.753442,-3.034348,NA,PRESERVED_SPECIMEN,NA
Campula oblonga,61.2064,-149.931,NA,PRESERVED_SPECIMEN,NA
Campula oblonga,47.55,-122.4,NA,PRESERVED_SPECIMEN,NA
Campula oblonga,58,-161,NA,PRESERVED_SPECIMEN,NA
Campula oblonga,55.7333,-164.9833,NA,PRESERVED_SPECIMEN,NA
Campula oblonga,64.7878,-147.766,NA,PRESERVED_SPECIMEN,NA
Campula oblonga,45.84597,-67.544165,NA,PRESERVED_SPECIMEN,NA
Campula oblonga,54.17,12.08,NA,PRESERVED_SPECIMEN,NA
Cardiobothrium beveridgei,-35.7,150.683333,500,PRESERVED_SPECIMEN,NA
Cardiobothrium beveridgei,-38.683333,146.7,1000,PRESERVED_SPECIMEN,NA
Cardiobothrium beveridgei,-38.683333,146.7,1000,PRESERVED_SPECIMEN,NA
Cardiobothrium beveridgei,-35.7,150.683333,500,PRESERVED_SPECIMEN,NA
Cardiobothrium beveridgei,-35.7,150.683333,500,PRESERVED_SPECIMEN,NA
Cardiobothrium beveridgei,-35.7,150.683333,500,PRESERVED_SPECIMEN,NA
Cardiobothrium beveridgei,-35.7,150.683333,500,PRESERVED_SPECIMEN,NA
Cardiobothrium beveridgei,-35.7,150.68,NA,PRESERVED_SPECIMEN,NA
Carpobothrium chiloscylli,1.0585,108.974,NA,PRESERVED_SPECIMEN,NA
Carpobothrium eleanorae,2.89782,112.096,NA,PRESERVED_SPECIMEN,NA
Carpobothrium eleanorae,1.80429,109.78,NA,PRESERVED_SPECIMEN,NA
Cathetocephalus resendezi,28.9167,-113.533,NA,PRESERVED_SPECIMEN,NA
Caudacanthus narcini,-28.183,153.55,NA,PRESERVED_SPECIMEN,NA
Caudacanthus narcini,-28.183,153.55,NA,PRESERVED_SPECIMEN,NA
Caulobothrium ostrowskiae,-33.341667,-55.908333,NA,PRESERVED_SPECIMEN,NA
Clistobothrium carcharodoni,-36.25,174.258333,NA,UNKNOWN,12.5
Clistobothrium carcharodoni,-36.25,174.258333,NA,UNKNOWN,12.5
Clistobothrium carcharodoni,-36.25,174.258333,NA,UNKNOWN,12.5
Clistobothrium carcharodoni,-37.25,174.26,NA,PRESERVED_SPECIMEN,NA
Clistobothrium carcharodoni,-36.25,174.26,NA,PRESERVED_SPECIMEN,NA
Clistobothrium carcharodoni,33.92,-118.8,NA,PRESERVED_SPECIMEN,NA
Clistobothrium carcharodoni,33.92,-118.8,NA,PRESERVED_SPECIMEN,NA
Clistobothrium montaukensis,-46.23,-60.78,NA,PRESERVED_SPECIMEN,NA
Clistobothrium montaukensis,-49.68,-60.87,NA,PRESERVED_SPECIMEN,NA
Collicocephalus baggioi,-12.586389,141.709444,500,PRESERVED_SPECIMEN,NA
Collicocephalus baggioi,-12.586389,141.709444,500,PRESERVED_SPECIMEN,NA
Collicocephalus baggioi,-12.586389,141.709444,500,PRESERVED_SPECIMEN,NA
Collicocephalus baggioi,-12.586389,141.709444,500,PRESERVED_SPECIMEN,NA
Collicocephalus baggioi,-12.586389,141.709444,500,PRESERVED_SPECIMEN,NA
Collicocephalus baggioi,-12.586389,141.709444,500,PRESERVED_SPECIMEN,NA
Collicocephalus baggioi,-12.586389,141.709444,500,PRESERVED_SPECIMEN,NA
Collicocephalus baggioi,-12.586389,141.709444,500,PRESERVED_SPECIMEN,NA
Collicocephalus baggioi,-12.586389,141.709444,500,PRESERVED_SPECIMEN,NA
Collicocephalus baggioi,-12.586389,141.709444,500,PRESERVED_SPECIMEN,NA
Collicocephalus baggioi,-12.5864,141.709,NA,PRESERVED_SPECIMEN,NA
Corollapex cairae,-8.237056,157.031583,500,PRESERVED_SPECIMEN,NA
Corollapex cairae,-8.223278,157.000667,NA,PRESERVED_SPECIMEN,NA
Corollapex cairae,-8.237056,157.031583,NA,PRESERVED_SPECIMEN,NA
Corollapex cairae,-8.237056,157.031583,NA,PRESERVED_SPECIMEN,NA
Corollapex cairae,-8.237056,157.031583,500,PRESERVED_SPECIMEN,NA
Corollapex cairae,-8.22328,157.001,NA,PRESERVED_SPECIMEN,NA
Corollapex cairae,-8.2233,157.001,NA,PRESERVED_SPECIMEN,NA
Corollapex cairae,-12.586389,141.709444,500,PRESERVED_SPECIMEN,NA
Corollapex cairae,-12.5864,141.709,NA,PRESERVED_SPECIMEN,NA
Corollapex tingoi,-8.22328,157.001,NA,PRESERVED_SPECIMEN,NA
Corollapex tingoi,-8.22328,157.001,NA,PRESERVED_SPECIMEN,NA
Corollapex tingoi,-8.22328,157.001,NA,PRESERVED_SPECIMEN,NA
Corollapex tingoi,-8.22328,157.001,NA,PRESERVED_SPECIMEN,NA
Corollapex tingoi,-8.22328,157.001,NA,PRESERVED_SPECIMEN,NA
Coronocestus coronatus,-41.287,174.792,1000,HUMAN_OBSERVATION,NA
Coronocestus diamanti,28,55.75,NA,PRESERVED_SPECIMEN,NA
Coronocestus notoguidoi,-38,-57.55,NA,PRESERVED_SPECIMEN,NA
Coronocestus notoguidoi,-38,-57.55,3359.07,PRESERVED_SPECIMEN,NA
Coronocestus notoguidoi,-38,-57.55,3359.07,PRESERVED_SPECIMEN,NA
Corynosoma australe,-40.35,-9.88,NA,PRESERVED_SPECIMEN,NA
Crassuseptum pietrafacei,1.80429,109.78,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,34.7122,-76.5411,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,36.43,-75.68,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.527526,-70.661413,2207,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,52.90181,-4.167948,90000,MATERIAL_SAMPLE,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.5265,-70.6731,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.448,-70.7319,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.448,-70.7319,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.448,-70.7319,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.448,-70.7319,NA,PRESERVED_SPECIMEN,NA
Crossobothrium laciniatum,41.448,-70.7319,NA,PRESERVED_SPECIMEN,NA
Dasyrhynchus pacificus,-35.5,138.783,NA,PRESERVED_SPECIMEN,NA
Demoleus heptapus,48.546,-123.012,NA,PRESERVED_SPECIMEN,NA
Demoleus heptapus,48.55,-123.01,NA,PRESERVED_SPECIMEN,NA
Demoleus heptapus,41.948719,-70.318637,33895,PRESERVED_SPECIMEN,NA
Dendromonocotyle octodiscus,21.8,-86.7833,NA,PRESERVED_SPECIMEN,NA
Dendromonocotyle octodiscus,29.9097,-84.3953,NA,PRESERVED_SPECIMEN,NA
Dinemoura discrepans,9.47,54.87,NA,PRESERVED_SPECIMEN,NA
Dinemoura discrepans,7.17,55.08,NA,PRESERVED_SPECIMEN,375
Dinemoura discrepans,7.17,55.08,NA,PRESERVED_SPECIMEN,375
Dinemoura discrepans,-37.02,75.32,NA,PRESERVED_SPECIMEN,NA
Dinemoura latifolia,19,-96.09,NA,PRESERVED_SPECIMEN,NA
Dinemoura latifolia,44.316666,-61.3167,NA,PRESERVED_SPECIMEN,0
Dinemoura latifolia,-41.025,173.8833,500,HUMAN_OBSERVATION,2
Dinemoura latifolia,2.03,-157.67,NA,PRESERVED_SPECIMEN,NA
Dinemoura latifolia,13.63,-75.83,NA,PRESERVED_SPECIMEN,NA
Dinemoura latifolia,39.53,-28.03,NA,PRESERVED_SPECIMEN,NA
Dinemoura latifolia,-33.4,-79.02,NA,PRESERVED_SPECIMEN,NA
Dinemoura latifolia,-33.4,-79.02,NA,PRESERVED_SPECIMEN,NA
Dinemoura latifolia,-32.8667,-77.0167,NA,PRESERVED_SPECIMEN,30
Dinemoura latifolia,-33.3,-79.0833,NA,PRESERVED_SPECIMEN,60
Dinemoura latifolia,-33.3,-79.0833,NA,PRESERVED_SPECIMEN,60
Dinemoura latifolia,-32.93,-81.02,NA,PRESERVED_SPECIMEN,26
Dinemoura latifolia,-32.93,-81.02,NA,PRESERVED_SPECIMEN,26
Dinemoura latifolia,-20.0167,-83.3333,NA,PRESERVED_SPECIMEN,30
Dinemoura latifolia,19.85,-74.1,NA,PRESERVED_SPECIMEN,3109
Dinemoura latifolia,-8.7,55.12,NA,PRESERVED_SPECIMEN,NA
Dinemoura latifolia,-37.02,75.32,NA,PRESERVED_SPECIMEN,NA
Dinemoura latifolia,-17.3,70.08,NA,PRESERVED_SPECIMEN,1500
Dinemoura latifolia,-8.53,79.8,NA,PRESERVED_SPECIMEN,NA
Dinemoura latifolia,35,-70,NA,PRESERVED_SPECIMEN,NA
Dinemoura latifolia,50.57,-64.03,NA,PRESERVED_SPECIMEN,NA
Dinemoura latifolia,42.3,-64.03,NA,PRESERVED_SPECIMEN,NA
Dinemoura latifolia,45.97,-162.55,NA,PRESERVED_SPECIMEN,NA
Dinemoura latifolia,28.9,-88.03,NA,PRESERVED_SPECIMEN,1646
Dinemoura latifolia,27,-23,NA,PRESERVED_SPECIMEN,NA
Dinemoura latifolia,27,-23,NA,PRESERVED_SPECIMEN,NA
Dinemoura producta,-36.25,174.258333,NA,UNKNOWN,12.5
Dinemoura producta,44.316666,-61.3167,NA,PRESERVED_SPECIMEN,0
Dinemoura producta,-38.2,178.916667,NA,UNKNOWN,150
Dinemoura producta,54.096201,-0.110722,70.7,HUMAN_OBSERVATION,NA
Dinemoura producta,-41.025,173.8833,500,HUMAN_OBSERVATION,2
Dinemoura producta,-33.4,-79.02,NA,PRESERVED_SPECIMEN,NA
Dinemoura producta,-10.6,-83.6667,NA,PRESERVED_SPECIMEN,16
Dinemoura producta,-10.4167,-79.6667,NA,PRESERVED_SPECIMEN,5
Dinemoura producta,-8.67,-83.55,NA,PRESERVED_SPECIMEN,13
Dinemoura producta,33.85,-117.87,NA,PRESERVED_SPECIMEN,NA
Dinemoura producta,33.85,-117.87,NA,PRESERVED_SPECIMEN,NA
